"";"X";"SG_UF_MUN";"CO_MUN_GEO";"NO_MUN";"CO_UF"
"482";5267;"SP";3429302;"MATAO";41
"483";5268;"SP";3429401;"MAUA";41
"484";5269;"SP";3429500;"MENDONCA";41
"485";5270;"SP";3429609;"MERIDIANO";41
"486";5271;"SP";3429658;"MESOPOLIS";41
"487";5272;"SP";3429708;"MIGUELOPOLIS";41
"488";5273;"SP";3429807;"MINEIROS DO TIETE";41
"489";5274;"SP";3429906;"MIRACATU";41
"490";5275;"SP";3430003;"MIRA ESTRELA";41
"491";5276;"SP";3426506;"LAVINIA";41
"492";5277;"SP";3433601;"NUPORANGA";41
"493";5278;"SP";3433700;"OCAUCU";41
"494";5279;"SP";3433809;"OLEO";41
"495";5280;"SP";3433908;"OLIMPIA";41
"496";5281;"SP";3434005;"ONDA VERDE";41
"497";5282;"SP";3434104;"ORIENTE";41
"498";5283;"SP";3434203;"ORINDIUVA";41
"499";5284;"SP";3434302;"ORLANDIA";41
"500";5285;"SP";3434401;"OSASCO";41
"501";5286;"SP";3434500;"OSCAR BRESSANE";41
"502";5287;"SP";3434609;"OSVALDO CRUZ";41
"503";5288;"SP";3434708;"OURINHOS";41
"504";5289;"SP";3434757;"OUROESTE";41
"505";5290;"SP";3434807;"OURO VERDE";41
"506";5291;"SP";3434906;"PACAEMBU";41
"507";5292;"SP";3435002;"PALESTINA";41
"508";5293;"SP";3435101;"PALMARES PAULISTA";41
"509";5294;"SP";3435200;"PALMEIRA D'OESTE";41
"510";5295;"SP";3401707;"AMERICO BRASILIENSE";41
"511";5296;"SP";3401806;"AMERICO DE CAMPOS";41
"512";5297;"SP";3401905;"AMPARO";41
"513";5298;"SP";3402002;"ANALANDIA";41
"514";5299;"SP";3449003;"SAO FRANCISCO";41
"515";5300;"SP";3406003;"BAURU";41
"516";5301;"SP";3406102;"BEBEDOURO";41
"517";5302;"SP";3406201;"BENTO DE ABREU";41
"518";5303;"SP";3406300;"BERNARDINO DE CAMPOS";41
"519";5304;"SP";3406359;"BERTIOGA";41
"520";5305;"SP";3429104;"MARINOPOLIS";41
"521";5306;"SP";3402705;"APIAI";41
"522";5307;"SP";3402754;"ARACARIGUAMA";41
"523";5308;"SP";3402804;"ARACATUBA";41
"524";5309;"SP";3402903;"ARACOIABA DA SERRA";41
